Source,Neighbor species,Focal species,Visitation,Reproductive Success,d (vis),var (d vis),d (rep),var (d rep),Min. Distance ('control' to nearest neighbour),Treatment Arrangement,Interaction type,Study approach,Phylo,Symmetry,Colour,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32
Kaiser 2008,various,Syzygium mamillatum,no,yes,NA,NA,0.483,0.386,NA,NA,alien,experimental,N/A,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaiser 2009,Psidium cattleianum Sabine,Bertiera zaluzania Gaertner f.,yes,yes,-0.335,0.372,0.045,0.211,5,natural,alien,experimental,238.330981,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandori 2009,Taraxacum officinale,Taraxacum japonicum Koidz.,yes,no,-0.641,0.14,NA,NA,20,interspersed,alien,experimental,46.62038,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandori 2009,Taraxacum officinale,Taraxacum japonicum,yes,no,-0.99,0.15,NA,NA,20,interspersed,alien,experimental,46.62038,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandori 2009,Taraxacum officinale,Taraxacum japonicum,yes,yes,NA,NA,-3.395,0.349,20,interspersed,alien,experimental,46.62038,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kandori 2009,Taraxacum officinale,Taraxacum japonicum,yes,yes,NA,NA,-6.473,0.891,20,interspersed,alien,experimental,46.62038,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasagi 2003,Phyllodoce caerulea,Phyllodoce aleutica,no,yes,NA,NA,0.373,0.036,NA,NA,native,observational,124.1034,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana Gams (var. blue),Dactylorhiza incarnata (L.) So—,no,yes,NA,NA,-1.62,0.227,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. blue,Dactylorhiza incarnata,no,yes,NA,NA,-1.347,0.126,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. blue,Dactylorhiza incarnata,no,yes,NA,NA,-1.707,0.131,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. red,Dactylorhiza incarnata,no,yes,NA,NA,-2.39,0.257,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. red,Dactylorhiza incarnata,no,yes,NA,NA,-1.8,0.141,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lammi 1995,Viola x wittrockiana var. red,Dactylorhiza incarnata,no,yes,NA,NA,-2.456,0.254,80,interspersed,alien,experimental,376.5666,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larson 2006,Euphorbia esula,Calylophus serrulatus,yes,no,-1.638,0.257,NA,NA,NA,NA,alien,observational,235.069437,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Campanula rotundifolia,yes,no,0.608,0.191,NA,NA,NA,NA,alien,observational,238.331008,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Linum lewisii,yes,no,-0.033,0.053,NA,NA,NA,NA,alien,observational,206.617751,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Oxytropis lambertii,yes,no,-0.095,0.071,NA,NA,NA,NA,alien,observational,226.517135,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Sphaeralcea coccinea,yes,no,-0.61,0.105,NA,NA,NA,NA,alien,observational,235.069457,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Larson 2006,Euphorbia esula,Vicia americana,yes,no,0.124,0.25,NA,NA,NA,NA,alien,observational,226.517135,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exc
Laverty 1992,Pedicularis canadensis L.,Podophyllum peltatum L.,no,yes,NA,NA,0.814,0.087,50,natural,native,observational,273.800551,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laverty 1992,Pedicularis canadensis,Podophyllum peltatum,no,yes,NA,NA,0.56,0.139,50,natural,native,observational,273.800551,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laverty 1992,Pedicularis canadensis,Podophyllum peltatum,yes,yes,0.473,0.049,0.411,0.082,50,natural,native,observational,273.800551,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liao 2011,Vicia dichroantha,Pedicularis monbeigiana,yes,no,3.5986553949,1.3093950407,NA,NA,50,natural,native,experimental,238.331014,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liao 2011,Vicia dichroantha,Pedicularis monbeigiana,yes,no,1.7077742208,0.6822807993,NA,NA,50,natural,native,experimental,238.331014,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liao 2011,Vicia dichroantha,Pedicularis monbeigiana,yes,yes,2.9711573508,1.0517360002,1.9962648419,0.1498134165,50,natural,native,experimental,238.331014,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liao 2011,Vicia dichroantha,Pedicularis monbeigiana,yes,yes,3.4462885114,1.2423065315,1.5831351707,0.1313289621,50,natural,native,experimental,238.331014,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liao 2011,Vicia dichroantha,Pedicularis monbeigiana,no,yes,NA,NA,0.2854481964,0.1010185084,50,natural,native,experimental,238.331014,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liao 2011,Vicia dichroantha,Pedicularis monbeigiana,no,yes,NA,NA,1.3457868171,0.122639277,50,natural,native,experimental,238.331014,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lopezaraiza-Mikel 2007,Impatiens glandulifera,Stachys palustris,yes,no,0.791,0.539,NA,NA,9,natural,alien,experimental,215.219053,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Masters 2015,Ranunculus ficaria,Claytonia virginica,yes,yes,0.5848736873,0.0962095998,1.0031037378,0.0450310855,1000,natural,alien,observational,210.892,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McGuire 1991,Saxifraga tricuspidata Rottb.,Saxifraga reflexa Hook.,yes,yes,0.514,0.517,-0.074,0.325,2.5,natural,native,experimental,150.5066,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McKinney 2010,Lonicera maackii,Hydrophyllum macrophyllum,yes,yes,1.8623788536,0.2389261457,0.9916704564,0.1871543811,15,clumped,alien,experimental,205.74299,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McKinney 2010,Lonicera maackii,Hydrophyllum macrophyllum,yes,yes,-1.2311380474,0.2162659294,-0.0995942159,0.1820436138,15,clumped,alien,experimental,205.74299,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moeller 2004,Clarkia sp.,Clarkia  xantiana spp. xantiana  A. Gray,yes,no,0.435,0.032,NA,NA,3000,natural,native,observational,64.6662485,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moeller 2005,Clarkia sp.,Clarkia  xantiana spp. xantiana  A. Gray,yes,yes,1.66,0.603,-0.211,0.453,1000,clumped,native,experimental,64.6662485,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montero-Castano 2015,Hedysarum coronarium,Leopoldia comosa,yes,yes,0.6313451418,0.1703095961,0.1300828275,0.1626760932,1,natural,alien,observational,376.566547,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montero-Castano 2015,Hedysarum coronarium,Leopoldia comosa,yes,yes,0.5670353387,0.1520082512,0.2747020488,0.1477657019,1,natural,alien,experimental,376.566547,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moragues 2005,Carpobrotus acinaciformis,Anthyllis cytisoides,yes,no,0.565,0.078,NA,NA,50,natural,alien,observational,238.330897,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moragues 2005,Carpobrotus acinaciformis,Cistus monspeliensis,yes,no,0.368,0.07,NA,NA,50,natural,alien,observational,238.330961,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moragues 2005,Carpobrotus acinaciformis,Cistus monspeliensis L.,yes,no,0.358,0.115,NA,NA,50,natural,alien,observational,238.330961,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moragues 2005,Carpobrotus acinaciformis (L.) L. Bol.,Anthyllis cytisoides L.,yes,no,0.496,0.128,NA,NA,50,natural,alien,observational,238.330897,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moragues 2005,Carpobrotus edulis,Cistus salviifolius,yes,no,0.766,0.131,NA,NA,50,natural,alien,observational,238.330951,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moragues 2005,Carpobrotus edulis,Lotus cytisoides,yes,no,-0.582,0.101,NA,NA,50,natural,alien,observational,238.330897,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moragues 2005,Carpobrotus edulis,Lotus cytisoides L.,yes,no,-0.352,0.149,NA,NA,50,natural,alien,observational,238.330897,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moragues 2005,Carpobrotus edulis (L.) N. E. Br.,Cistus salviifolius L.,yes,no,0.283,0.21,NA,NA,50,natural,alien,observational,238.330951,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morales 2006,Carduus nutans,Alstroemeria aurea,no,yes,NA,NA,0.068,0.2,NA,NA,alien,experimental,376.566584,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motten 1982,Erythronium umbilicatum,Hepatica americana,no,yes,NA,NA,-0.453,0.152,NA,NA,native,observational,376.567214,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mu?oz 2008,Taraxacum officinale,Hypochaeris thrincioides (J. Remy),yes,yes,-1.058,0.38,-0.539,0.345,2,clumped,alien,experimental,91.48741,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mu?oz 2008,Taraxacum officinale,Hypochaeris thrincioides,yes,yes,-0.625,0.35,1.021,0.377,2,clumped,alien,experimental,91.48741,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mu?oz 2008,Taraxacum officinale,Perezia carthamoides,yes,yes,-2.055,0.611,-1.073,0.458,2,clumped,alien,experimental,91.48741,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mu?oz 2008,Taraxacum officinale,Perezia carthamoides H. et A.,yes,yes,-0.452,0.41,0.137,0.401,2,clumped,alien,experimental,91.48741,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navarro, unpub.",Echium vulgare,Lathyrus sp.,no,yes,NA,NA,-0.523,0.01,NA,NA,alien,observational,238.3319,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ollerton 2007,Orobanche elatior,Centaurea scabiosa,yes,no,0.6,0.523,NA,NA,NA,NA,native,experimental,205.743152,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Padron, unpub",Opuntia dillenii,Argyranthemum frutescens,yes,no,-0.366,0.094,NA,NA,NA,NA,alien,observational,233.39459,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Padron, unpub",Opuntia dillenii,Ceballosia fruticosa,yes,no,-0.66,0.09,NA,NA,NA,NA,alien,observational,233.39458,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Padron, unpub",Opuntia dillenii,Euphorbia balsamifera,yes,no,0.121,0.067,NA,NA,NA,NA,alien,observational,238.331018,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Padron, unpub",Opuntia dillenii,Euphorbia obtusifolia,yes,no,0.266,0.055,NA,NA,NA,NA,alien,observational,238.331018,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Padron, unpub",Opuntia dillenii,Frankenia laevis,yes,no,-0.47,0.156,NA,NA,NA,NA,alien,observational,178.92189,S,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Padron, unpub",Opuntia dillenii,Lavandula buchii,yes,no,0.129,0.079,NA,NA,NA,NA,alien,observational,233.394653,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Padron, unpub",Opuntia dillenii,Plocama pendula,yes,no,0.12,0.069,NA,NA,NA,NA,alien,observational,233.39454,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Padron, unpub",Opuntia dillenii,Schizogyne sericea,yes,no,-0.297,0.042,NA,NA,NA,NA,alien,observational,233.39458,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palladini 2013,Euphorbia esula,Clarkia pulchella,yes,yes,-0.2215031478,0.1070881513,-0.118843197,0.014754303,10000,natural,alien,observational,235.069437,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stiers 2014,Ludwigia grandiflora,Lythrum salicaria,yes,yes,0.6563910055,0.0878213453,-0.1214927534,0.1669741769,100,clumped,alien,experimental,176.40102,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suehs, unpub",Carpobrotus acinaciformis,Anthyllis barba-jovis,yes,no,-0.354,0.135,NA,NA,NA,NA,alien,observational,238.330897,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suehs, unpub",Carpobrotus acinaciformis,Cistus monspeliensis,yes,no,-1.424,0.167,NA,NA,NA,NA,alien,observational,238.330961,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suehs, unpub",Carpobrotus acinaciformis,Lotus cytisoides,yes,no,0.066,0.126,NA,NA,NA,NA,alien,observational,238.330897,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suehs, unpub",Carpobrotus acinaciformis,Senecio leucanthemifolius,yes,no,-0.01,0.133,NA,NA,NA,NA,alien,observational,233.39447,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suehs, unpub",Carpobrotus edulis,Lotus cytisoides,yes,no,-0.425,0.132,NA,NA,NA,NA,alien,observational,238.330897,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun 2013,Solidago canadensis,Ixeris chinensis,yes,no,-0.8223453333,0.054226574,NA,NA,25,natural,alien,experimental,91.4874,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun 2013,Solidago canadensis,Ixeris chinensis,yes,no,-1.6207282195,0.0664172498,NA,NA,25,natural,alien,experimental,91.4874,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun 2013,Solidago canadensis,Ixeris chinensis,yes,no,-0.5995858307,0.0522468948,NA,NA,25,natural,alien,experimental,91.4874,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun 2013,Solidago canadensis,Ixeris chinensis,yes,no,-1.4877313326,0.0638334032,NA,NA,25,natural,alien,experimental,91.4874,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun 2013,Solidago canadensis,Sonchus arvensis,yes,no,0.9689199571,0.0558675368,NA,NA,25,natural,alien,experimental,64.48237,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun 2013,Solidago canadensis,Sonchus arvensis,yes,no,1.493745366,0.0639454701,NA,NA,25,natural,alien,experimental,64.48237,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun 2013,Solidago canadensis,Sonchus arvensis,yes,no,0.990509521,0.0561319319,NA,NA,25,natural,alien,experimental,64.48237,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sun 2013,Solidago canadensis,Sonchus arvensis,yes,no,2.1916843214,0.080021751,NA,NA,25,natural,alien,experimental,64.48237,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thijs 2011,Impatiens glandulifera,Lythrum salicaria,yes,yes,-0.1228339983,0.0556158257,-0.5206878567,0.0133933056,500,clumped,alien,experimental,238.331041,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thijs 2011,Impatiens glandulifera,Oenothera biennis,yes,yes,0.5573586771,0.1900365033,0.1765367123,0.0148725282,500,clumped,alien,experimental,238.331021,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thijs 2011,Impatiens glandulifera,Alisma plantago-aquatica,yes,yes,-0.4137841558,0.2593187955,-0.2237677946,0.0149075408,500,clumped,alien,experimental,376.56654,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thijs 2011,Impatiens glandulifera,Oenothera biennis,no,yes,NA,NA,-0.1477970857,0.0445657999,500,clumped,alien,experimental,238.331021,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thijs 2011,Impatiens glandulifera,Alisma plantago-aquatica,no,yes,NA,NA,-0.5911883428,0.0463861314,500,clumped,alien,experimental,376.56654,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Totland 2006,Phacelia thancetifolia Benth.,Melampyrum pratense,yes,no,-0.431,0.106,NA,NA,5,interspersed,alien,experimental,149.998087,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Totland 2006,Phacelia thancetifolia,Melampyrum pratense,yes,no,-0.733,0.097,NA,NA,5,interspersed,alien,experimental,149.998087,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waser 1978,Delphinium nelsoni Greene,Ipomopsis aggregata,no,yes,NA,NA,-1.18,0.043,25,interspersed,native,experimental,273.800954,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waser 1978,Delphinium nelsoni,Ipomopsis aggregata,no,yes,NA,NA,-0.868,0.162,25,interspersed,native,experimental,273.800954,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waser 1978,Ipomopsis aggregata,Delphinium nelsoni,no,yes,NA,NA,-1.169,0.145,25,interspersed,native,experimental,273.800954,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waser 1978,Ipomopsis aggregata,Delphinium nelsoni,no,yes,NA,NA,-0.874,0.067,25,interspersed,native,experimental,273.800954,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waser 1978,Ipomopsis aggregata,Delphinium nelsoni,no,yes,NA,NA,-0.979,0.137,25,interspersed,native,experimental,273.800954,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woods 2012,Lespedeza cuneata,Lespedeza violacea,yes,no,-1.2749827872,0.6994462696,NA,NA,5000,natural,alien,observational,13.652506,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woods 2012,Lespedeza cuneata,Lespedeza virginica,yes,no,-0.0765259956,0.393123335,NA,NA,5000,natural,alien,observational,13.652506,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woods 2012,Lespedeza cuneata,Lespedeza capitata,yes,no,-0.9189411086,0.3247476638,NA,NA,5000,natural,alien,observational,13.652506,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woods 2012,Lespedeza cuneata,Lespedeza virginica,yes,no,-0.0483455394,0.2436512513,NA,NA,5000,natural,alien,observational,13.652506,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
